SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,HeapSortNComp,HeapSortTns,
seq_50_54,1225,99100,629,118300,32590,67500,17695,15100,18260,24200,409,35600,
seq_50_55,1225,89600,651,117600,33184,81400,17985,15100,18550,25800,419,25400,
seq_50_56,1225,64300,659,106500,33770,57300,18318,13400,18893,27300,422,21200,
seq_50_57,1225,73100,612,98200,34358,53600,18717,14500,19166,19300,414,20400,
seq_50_58,1225,80900,600,116700,34948,58300,19077,12700,19449,18800,417,21800,
seq_50_59,1225,74500,646,104100,35548,50600,19388,13000,19768,28600,415,20300,
seq_50_60,1225,73700,690,264200,36144,52200,19783,16400,20107,29100,417,24100,
seq_50_61,1225,73000,511,88200,36720,62400,20172,17200,20422,26200,428,23900,
seq_50_62,1225,85300,621,109200,37318,55500,20510,13900,20778,28000,413,23900,
seq_50_63,1225,68400,572,93400,37902,48800,20823,15400,21080,22700,419,28300,
seq_50_64,1225,81500,736,150400,38490,56700,21119,18900,21396,29900,417,24600,
seq_50_65,1225,71900,533,85100,39078,57600,21421,15100,21734,25300,413,24200,
seq_50_66,1225,85900,724,174000,39676,55900,21751,14000,22042,28400,415,31800,
seq_50_67,1225,77500,664,234900,40266,53400,22105,35400,22395,25000,413,32400,
seq_50_68,1225,71400,568,114400,40848,55700,22430,18600,22700,23600,419,42600,
seq_50_69,1225,78200,663,104200,41434,55100,22801,13900,23037,26100,418,27600,
seq_50_70,1225,85100,723,268900,42018,66400,23127,14400,23365,27300,412,28500,
seq_50_71,1225,84000,607,137000,42612,62400,23403,14800,23711,74900,417,29700,
seq_50_72,1225,82600,717,137000,43204,54800,23741,13600,24039,19000,421,21500,
seq_50_73,1225,88800,691,126600,43794,54700,24069,15400,24361,18500,422,23100,
seq_50_74,1225,190400,676,150400,44384,63000,24375,14900,24675,21300,420,21400,
seq_50_75,1225,83200,708,141800,44978,63200,24740,17600,25024,20700,413,20600,
seq_50_76,1225,71300,562,100900,45586,88100,25041,17100,25338,22300,419,22600,
seq_50_77,1225,73300,692,118800,46172,52200,25342,13200,25630,16800,419,33000,
seq_50_78,1225,88600,729,553700,46768,48600,25694,15700,25937,18300,413,18700,
seq_50_79,1225,91100,617,225300,47368,57900,26020,29700,26249,19800,419,21700,
seq_50_80,1225,82900,695,146200,47956,178100,26336,16600,26588,31600,416,23700,
seq_50_81,1225,74000,653,113300,48554,57200,26678,14100,26885,16700,421,25000,
seq_50_82,1225,83900,626,135600,49148,58000,27042,15700,27184,18500,418,22500,
seq_50_83,1225,101400,737,148400,49744,54600,27364,14100,27553,21400,412,25400,
seq_50_84,1225,87300,667,121200,50348,58300,27699,13900,27865,16200,424,23400,
seq_50_85,1225,63000,676,235900,50948,51900,28016,13500,28152,16000,417,29500,
seq_50_86,1225,87400,710,260000,51538,87600,28341,14400,28449,17400,406,31800,
seq_50_87,1225,68700,602,1474800,52126,66500,28655,14800,28747,19300,414,33000,
seq_50_88,1225,82800,531,210100,52720,52400,28969,28300,29154,23900,419,31400,
seq_50_89,1225,71000,558,118900,53306,68400,29328,11800,29476,22300,419,32200,
seq_50_90,1225,77900,593,98200,53900,60800,29661,6200,29809,12100,412,13500,
seq_50_91,1225,79200,680,152900,54496,51300,29976,9300,30103,17600,412,31900,
seq_50_92,1225,112900,557,64100,55096,33000,30370,10500,30417,11900,416,41700,
seq_50_93,1225,87400,749,169200,55680,56900,30712,8200,30746,19300,417,20700,
seq_50_94,1225,82200,759,91300,56276,55500,31064,8800,31115,20300,406,27100,
seq_50_95,1225,86300,690,41100,56864,55800,31408,13300,31438,40300,427,23800,
seq_50_96,1225,87000,698,40800,57460,102400,31719,8600,31748,19400,421,28300,
seq_50_97,1225,74100,494,29000,58056,57800,32067,9500,32073,34700,417,23200,
seq_50_98,1225,88400,673,39300,58660,57500,32408,9000,32377,24300,417,22400,
seq_50_99,1225,191500,744,43500,59258,54300,32694,10100,32746,21100,417,24600,
seq_100_0,4950,984400,2588,134800,60644,123400,33445,16500,33487,75600,1020,2221000,
seq_100_1,4950,286100,2417,147100,62040,115500,34223,20800,34235,85600,1020,45700,
seq_100_2,4950,2065000,2651,129600,63394,108100,35016,15700,35005,34300,1025,58900,
seq_100_3,4950,285800,2386,116700,64786,107300,35723,15300,35818,36700,1034,59500,
seq_100_4,4950,3749600,2558,141100,66170,125400,36490,1699500,36662,40600,1025,47300,
seq_100_5,4950,259300,2507,121900,67568,124800,37229,19700,37534,50200,1023,65400,
seq_100_6,4950,343900,2488,145400,68940,119100,38006,15800,38252,29800,1034,407400,
seq_100_7,4950,316700,2540,129600,70330,119700,38819,17000,39037,41000,1027,27500,
seq_100_8,4950,338600,2453,151900,71702,138700,39619,16400,39893,43800,1017,221000,
seq_100_9,4950,334600,2520,139500,73072,124300,40316,17000,40598,37000,1030,26700,
seq_100_10,4950,400200,2501,167400,74450,146800,41066,21600,41277,54100,1038,91100,
seq_100_11,4950,315800,2310,132000,75838,126100,41883,19500,42090,49300,1031,29900,
seq_100_12,4950,383200,2494,154600,77218,136000,42656,22300,42864,51300,1030,27900,
seq_100_13,4950,363900,2454,150800,78600,139400,43453,17800,43732,51500,1039,28400,
seq_100_14,4950,384100,2528,165700,79970,135000,44199,18700,44586,54600,1030,29300,
seq_100_15,4950,306000,2525,132700,81338,121600,45019,19100,45438,40200,1034,26200,
seq_100_16,4950,325500,2324,140400,82726,114500,45787,18400,46163,40200,1026,28100,
seq_100_17,4950,325900,2585,140100,84104,116200,46529,91800,46953,34300,1039,24200,
seq_100_18,4950,315800,2564,130300,85476,130500,47353,19600,47756,38000,1022,23300,
seq_100_19,4950,2652900,2783,139400,86864,124200,48155,17800,48450,39800,1034,52000,
seq_100_20,4950,358900,2926,161800,88228,130800,48894,20500,49223,40600,1020,26000,
seq_100_21,4950,1832700,2611,124800,89626,141200,49725,18600,50027,48400,1031,27900,
seq_100_22,4950,345000,2568,141800,90988,128200,50512,17400,50728,27700,1019,23800,
seq_100_23,4950,284500,2483,137500,92370,129300,51259,16800,51517,42500,1020,22500,
seq_100_24,4950,263200,2581,120400,93746,74600,51984,18200,52305,22300,1036,96000,
seq_100_25,4950,336100,2607,123900,95118,44700,52699,16700,53035,19300,1030,28200,
seq_100_26,4950,785800,2307,220000,96512,54900,53463,22100,53923,23900,1029,27800,
seq_100_27,4950,276100,2883,165000,97886,60000,54175,18800,54781,110700,1033,26600,
seq_100_28,4950,326300,2641,266000,99260,51900,54944,41900,55556,93700,1037,27900,
seq_100_29,4950,341200,2881,157000,100640,56100,55683,25300,56294,19900,1033,287500,
seq_100_30,4950,1550300,2451,115800,102030,56600,56473,18700,57061,22000,1036,27900,
seq_100_31,4950,365000,2752,170700,103402,53500,57166,68300,57785,17600,1024,22200,
seq_100_32,4950,506700,2827,151300,104776,47900,57952,17300,58520,19500,1012,29200,
seq_100_33,4950,311800,2557,133200,106158,48500,58845,16300,59468,21500,1032,23900,
seq_100_34,4950,700100,2639,218100,107542,54100,59612,15400,60186,18500,1009,22800,
seq_100_35,4950,327200,2766,158900,108934,50800,60415,17300,60924,18500,1031,27700,
seq_100_36,4950,471000,2606,112700,110318,47300,61238,15600,61643,22600,1034,26700,
seq_100_37,4950,378200,2756,171900,111706,108700,61987,17600,62325,20200,1018,28800,
seq_100_38,4950,84100,2616,164400,113064,51900,62948,20400,63010,20300,1012,29500,
seq_100_39,4950,104900,2442,501000,114442,69900,63721,271400,63804,26500,1042,29400,
seq_100_40,4950,76900,2507,27400,115822,62300,64426,14100,64680,102900,1033,49200,
seq_100_41,4950,81600,2681,33200,117208,47400,65302,16500,65685,42100,1024,28300,
seq_100_42,4950,77900,2817,32800,118596,51200,66077,16600,66543,20200,1024,27800,
seq_100_43,4950,78000,2554,29700,119960,52100,66902,18500,67250,18900,1029,27400,
seq_100_44,4950,91600,2384,34800,121330,56500,67783,18200,67993,20500,1039,28200,
seq_100_45,4950,75600,2523,30600,122720,50000,68538,20500,68751,21400,1027,28300,
seq_100_46,4950,89900,3027,36000,124118,53100,69254,15600,69570,19000,1041,27300,
seq_100_47,4950,125000,2502,28300,125514,590300,70086,20600,70353,20600,1021,3231200,
seq_100_48,4950,75600,2550,846300,126892,45400,70853,15500,71075,17900,1030,25000,
seq_100_49,4950,74300,2609,27600,128272,45200,71755,17600,71826,17200,1030,24200,
seq_100_50,4950,78000,2732,31100,129630,55300,72549,17000,72625,20600,1023,27400,
seq_100_51,4950,116800,2527,65300,131022,56500,73374,19400,73459,17800,1026,23000,
seq_100_52,4950,105800,2657,31100,132416,54300,74209,14900,74221,20000,1035,24600,
seq_100_53,4950,81800,2337,34400,133804,45900,75063,17600,75167,21200,1021,7461800,
seq_100_54,4950,72500,2531,26400,135188,55900,75897,16700,75956,17800,1039,23700,
seq_100_55,4950,74400,2740,32900,136576,64700,76676,17000,76653,17300,1019,24000,
seq_100_56,4950,76100,2544,26500,137970,53800,77498,15800,77420,17500,1030,23300,
seq_100_57,4950,77200,2719,29200,139350,42700,78285,14500,78104,16800,1025,25100,
seq_100_58,4950,4189600,2500,27900,140738,49700,79071,15900,78989,17600,1030,26300,
seq_100_59,4950,77900,2622,31900,142132,60600,79912,22100,79865,21200,1038,24500,
seq_100_60,4950,73200,2488,27600,143514,56400,80684,16200,80599,18800,1033,29500,
seq_100_61,4950,79600,2451,32700,144894,56400,81571,18600,81364,19800,1031,28900,
seq_100_62,4950,87400,2746,29200,146260,53700,82395,16900,82147,18900,1021,34800,
seq_100_63,4950,78100,2607,30400,147646,52100,83231,16200,82959,18000,1039,23700,
seq_100_64,4950,73800,2556,30600,149030,47000,84010,15500,83767,20900,1026,23500,
seq_100_65,4950,69800,2429,23700,150408,55100,84770,14100,84517,17400,1022,24400,
seq_100_66,4950,74800,2558,28400,151782,53800,85629,17700,85406,17700,1015,25600,
seq_100_67,4950,67600,2165,20900,153170,111000,86385,16000,86395,19500,1034,22900,
seq_100_68,4950,79000,2494,22100,154546,268600,87165,1251700,87113,20100,1045,22000,
seq_100_69,4950,71400,2792,31900,155942,45900,87892,15700,87949,19100,1042,23100,
seq_100_70,4950,73400,2641,26000,157334,59800,88725,15100,88660,16700,1038,22400,
seq_100_71,4950,1438000,2419,35400,158692,56100,89484,13500,89410,16200,1023,24400,
seq_100_72,4950,64300,2647,47100,160078,46800,90236,15400,90353,17600,1027,23700,
seq_100_73,4950,81800,2807,35500,161448,52900,90956,15300,91144,21800,1017,32100,
seq_100_74,4950,85900,2655,31600,162810,50200,91738,17800,91936,19300,1023,42600,
seq_100_75,4950,3183100,2604,32000,164192,136900,92615,19200,92759,21000,1018,28000,
seq_100_76,4950,83700,2583,32700,165540,55500,93384,18300,93544,22000,1038,30300,
seq_100_77,4950,68100,2728,25400,166934,52000,94090,15200,94284,18200,1022,24800,
seq_100_78,4950,68100,2649,26400,168314,47600,94923,15400,95282,18300,1035,23300,
seq_100_79,4950,74600,2600,25500,169712,48400,95734,19300,96030,19100,1019,26800,
seq_100_80,4950,82600,2418,32400,171096,75000,96443,15300,96745,18800,1030,28200,
seq_100_81,4950,74500,2473,30300,172486,60900,97232,18400,97501,18300,1029,29500,
seq_100_82,4950,79500,2644,32400,173842,51600,98072,19800,98204,34100,1015,43400,
seq_100_83,4950,74000,2517,30400,175204,56200,98777,16200,99074,22500,1014,28800,
seq_100_84,4950,69400,2132,24400,176596,55100,99577,21800,99824,20500,1029,26400,
seq_100_85,4950,81700,2742,31600,177980,52200,100310,18700,100636,22600,1016,28700,
seq_100_86,4950,69900,2723,25100,179354,51600,101104,15600,101474,21000,1015,24200,
seq_100_87,4950,71800,2403,23300,180746,49100,102078,19700,102261,18300,1029,25900,
seq_100_88,4950,70400,2505,27400,182134,53500,102925,17000,103020,17000,1027,23400,
seq_100_89,4950,70000,2293,26900,183524,58500,103658,14100,103785,15800,1030,30500,
seq_100_90,4950,63800,2509,24200,184884,54100,104375,13900,104539,16100,1027,21400,
seq_100_91,4950,86700,2669,32100,186264,62700,105151,19200,105508,23000,1026,27200,
seq_100_92,4950,73600,2516,28400,187640,624400,105894,23000,106211,18500,1038,26400,
seq_100_93,4950,129500,2703,33900,189028,55200,106645,18200,106947,18800,1024,30600,
seq_100_94,4950,83500,2718,33800,190412,52400,107347,17500,107693,20700,1034,29300,
seq_100_95,4950,81800,2573,31200,191790,55100,108048,16500,108447,21000,1037,29100,
seq_100_96,4950,86500,2592,29900,193166,66600,108857,17200,109293,21100,1010,88900,
seq_100_97,4950,81200,2658,28000,194540,60600,109604,15900,110084,19800,1015,27200,
seq_100_98,4950,308300,2550,106000,195926,390600,110385,23700,110884,107100,1022,40500,
seq_100_99,4950,51200,2643,17100,197306,46700,111241,15800,111629,17200,1031,34300,
seq_150_0,11175,122900,5021,46600,199540,84600,112620,23600,113040,25700,1749,37500,
seq_150_1,11175,155600,5868,64000,201788,76700,113846,23700,114212,26000,1717,41700,
seq_150_2,11175,194700,5836,61100,204056,85300,115101,24700,115409,26000,1729,38900,
seq_150_3,11175,170600,5412,58000,206284,81500,116272,23300,116832,28000,1715,38300,
seq_150_4,11175,144600,5617,53000,208552,84000,117570,23200,117965,26900,1709,37800,
seq_150_5,11175,152000,5254,55300,210792,69200,118974,24700,119219,27500,1726,38500,
seq_150_6,11175,151200,5732,57900,213036,68000,120257,23300,120621,30800,1711,37900,
seq_150_7,11175,146200,6112,58000,215270,76700,121470,20100,121848,24400,1713,34500,
seq_150_8,11175,149200,6211,55800,217528,82700,122624,20700,123285,26900,1693,32900,
seq_150_9,11175,213900,6049,61300,219792,70300,123825,25200,124608,28500,1713,263000,
seq_150_10,11175,127700,5721,44600,222020,71500,125110,21500,125758,22900,1714,43400,
seq_150_11,11175,142600,6099,33600,224256,59800,126339,16200,127158,18500,1683,25300,
seq_150_12,11175,461200,5733,58200,226508,78200,127654,26300,128411,28100,1689,103400,
seq_150_13,11175,141000,5801,55300,228728,70000,129053,24500,129681,27700,1697,37500,
seq_150_14,11175,622600,5795,49700,230978,145900,130485,28200,131058,20000,1716,25400,
seq_150_15,11175,190900,5738,60100,233236,81800,131860,26300,132301,32400,1727,42000,
seq_150_16,11175,187700,5715,65600,235482,79100,133222,31200,133646,31100,1710,45400,
seq_150_17,11175,189200,5723,67200,237718,79900,134645,28200,134960,31300,1726,43500,
seq_150_18,11175,174800,5546,60300,239974,83200,136008,31500,136277,31100,1711,42300,
seq_150_19,11175,189800,5795,67300,242228,79800,137175,24700,137572,31600,1720,46000,
seq_150_20,11175,182200,5729,63300,244492,82200,138525,46400,138914,30400,1712,37500,
seq_150_21,11175,198000,5498,59500,246722,83100,139913,26200,140143,28200,1711,37500,
seq_150_22,11175,163900,5589,54000,248962,69400,141189,23700,141513,26500,1726,36500,
seq_150_23,11175,165300,5758,54500,251220,75600,142505,23800,142886,29200,1698,36600,
seq_150_24,11175,180300,5510,60000,253482,100000,144035,28400,144043,75700,1711,41100,
seq_150_25,11175,173500,5377,58700,255722,68600,145364,27000,145234,27900,1723,40600,
seq_150_26,11175,166000,5965,64000,257966,78800,146517,24300,146463,28600,1711,39500,
seq_150_27,11175,177200,5705,66400,260226,78200,147795,25000,147666,30000,1703,41200,
seq_150_28,11175,167200,5679,63900,262478,342600,149079,26200,148855,28700,1716,40500,
seq_150_29,11175,169100,5451,86500,264718,223200,150311,27600,150021,29500,1721,42900,
seq_150_30,11175,684700,5729,61900,266980,79700,151548,23800,151383,27400,1720,41000,
seq_150_31,11175,807400,5216,60900,269200,96100,152868,29900,152955,32000,1709,42800,
seq_150_32,11175,178100,5950,65600,271468,79100,154097,27100,154241,30800,1704,42600,
seq_150_33,11175,173400,5352,71100,273710,72500,155430,24100,155518,42400,1708,41100,
seq_150_34,11175,152900,5498,51900,275948,84000,156821,28000,156733,30100,1716,46700,
seq_150_35,11175,192600,5945,66900,278146,144900,158062,24400,157921,29100,1725,37000,
seq_150_36,11175,180900,5728,67000,280392,83400,159366,27200,159163,30700,1714,48200,
seq_150_37,11175,188400,5439,66500,282656,84000,160537,27000,160509,32000,1705,45600,
seq_150_38,11175,186600,5399,89400,284902,87800,161803,27100,161792,33200,1684,44300,
seq_150_39,11175,183300,5946,63700,287172,77700,163271,25800,163224,28300,1712,38000,
seq_150_40,11175,172400,5666,61400,289416,76100,164452,23900,164420,29000,1710,41300,
seq_150_41,11175,149400,5510,39500,291658,51500,165599,16400,165651,19900,1716,42400,
seq_150_42,11175,145200,5410,32800,293916,54200,166923,22000,166856,26000,1723,35500,
seq_150_43,11175,181000,5329,62800,296176,83100,168527,27200,168257,20600,1709,26200,
seq_150_44,11175,158100,6078,60400,298436,74900,169825,26100,169733,26900,1718,37200,
seq_150_45,11175,151800,6045,62100,300684,75100,170991,22100,170941,27000,1721,37300,
seq_150_46,11175,152300,5666,57200,302944,72000,172350,26900,172152,25900,1702,36000,
seq_150_47,11175,185500,6103,75700,305194,87300,173571,26600,173532,34600,1686,201200,
seq_150_48,11175,217300,6144,37800,307446,57400,174828,16900,174738,19900,1723,27500,
seq_150_49,11175,154100,6140,37800,309702,48400,176052,16900,176104,21600,1704,26700,
seq_150_50,11175,179900,5848,71700,311966,84400,177341,28200,177329,29600,1733,46800,
seq_150_51,11175,180600,5817,60900,314222,81600,178714,29000,178574,30100,1681,42700,
seq_150_52,11175,180600,5979,67000,316478,80900,179994,29900,179747,27700,1715,41200,
seq_150_53,11175,180800,5884,66100,318714,71900,181401,27400,180921,27700,1719,40000,
seq_150_54,11175,172900,5558,59000,321010,69700,182557,27500,182435,31900,1720,39400,
seq_150_55,11175,171900,5221,55700,323242,95500,183745,26500,183756,31800,1709,39400,
seq_150_56,11175,169800,5540,60300,325492,91800,185196,29800,185086,34900,1717,44100,
seq_150_57,11175,171000,5686,56300,327770,68500,186502,27600,186333,28500,1708,38700,
seq_150_58,11175,178700,5816,65300,330030,65900,187675,27500,187614,27800,1710,40800,
seq_150_59,11175,183800,5438,55900,332258,74200,188859,28100,188786,30100,1723,42100,
seq_150_60,11175,255000,5594,56600,334504,71100,190216,28900,189975,26100,1707,35200,
seq_150_61,11175,200700,6254,66100,336776,66100,191572,26400,191283,29800,1731,37300,
seq_150_62,11175,186300,6276,71100,339036,75900,192885,28100,192549,29100,1701,36400,
seq_150_63,11175,200900,6620,69300,341272,73300,194293,30300,193900,28500,1708,37200,
seq_150_64,11175,171400,5977,63900,343536,69700,195616,28300,195037,27400,1696,39600,
seq_150_65,11175,247000,6109,67700,345770,73900,196801,29200,196372,30700,1734,37800,
seq_150_66,11175,200600,5827,63300,347990,76500,198128,29300,197629,28800,1737,45600,
seq_150_67,11175,196400,5295,58100,350252,64700,199364,25100,198854,27100,1716,35600,
seq_150_68,11175,196300,5974,64900,352514,65500,200598,26000,200329,29100,1713,35800,
seq_150_69,11175,180000,6434,70300,354772,77700,201756,29000,201640,30600,1704,42000,
seq_150_70,11175,176000,5571,63700,357012,71400,202976,27000,202917,31300,1713,39700,
seq_150_71,11175,157000,5336,59800,359260,62200,204374,29200,204213,29700,1717,40100,
seq_150_72,11175,185400,5691,66600,361492,118100,205766,34300,205449,31300,1713,44400,
seq_150_73,11175,169900,5228,60300,363730,80000,207028,30600,206790,32500,1679,60100,
seq_150_74,11175,169900,5941,83900,365990,69200,208367,30200,207989,28600,1689,35100,
seq_150_75,11175,184900,5544,64700,368228,71100,209683,32000,209411,35000,1693,44400,
seq_150_76,11175,276300,5623,68500,370470,79500,211073,33900,210884,37600,1717,41100,
seq_150_77,11175,176800,4976,45200,372726,64500,212432,29400,212172,21500,1698,25800,
seq_150_78,11175,174600,5679,35100,375008,49400,213697,20600,213459,19600,1709,26100,
seq_150_79,11175,154000,5976,36400,377244,53800,215019,18800,214784,20200,1710,26000,
seq_150_80,11175,157100,6002,36500,379516,44400,216483,22300,216263,21000,1707,26500,
seq_150_81,11175,230500,5997,141200,381756,116600,217944,31400,217558,30100,1713,38900,
seq_150_82,11175,264100,5827,82700,384028,74600,219245,29500,218870,46400,1711,40900,
seq_150_83,11175,167200,5318,56900,386290,80300,220567,29300,220075,27600,1712,44300,
seq_150_84,11175,163000,5852,62300,388514,66600,221911,27700,221243,28900,1686,39400,
seq_150_85,11175,264100,5818,70800,390770,72700,223183,29700,222608,31100,1710,48100,
seq_150_86,11175,192000,6036,70500,392994,83700,224356,29200,223968,34900,1712,45200,
seq_150_87,11175,206500,6360,76900,395240,86400,225942,38300,225257,27900,1693,37900,
seq_150_88,11175,157100,5395,52100,397510,67100,227246,56800,226402,29300,1725,40200,
seq_150_89,11175,191000,5868,72000,399768,76300,228459,25000,227790,32200,1720,46600,
seq_150_90,11175,159100,5618,34600,401988,52000,229823,20700,229151,20700,1723,27100,
seq_150_91,11175,164200,5438,34200,404252,44000,231046,18400,230447,18800,1724,25900,
seq_150_92,11175,165000,5542,63800,406506,72900,232339,33200,231682,30200,1703,41800,
seq_150_93,11175,224200,5351,55000,408762,77700,233498,32200,232966,28400,1715,37100,
seq_150_94,11175,167000,5203,57900,411016,64200,234896,29400,234222,26200,1707,40100,
seq_150_95,11175,196500,5779,59200,413274,67700,236265,27600,235625,31500,1715,36400,
seq_150_96,11175,188600,5822,70700,415538,97100,237587,39800,237069,35900,1741,47100,
seq_150_97,11175,167300,5533,61700,417784,61200,238808,29500,238262,28300,1705,38700,
seq_150_98,11175,174500,6048,63600,420000,70100,240058,26800,239585,30400,1710,39600,
seq_150_99,11175,199800,5671,54400,422214,64800,241355,31300,240993,31200,1718,41400,
seq_200_0,19900,277900,9666,97500,425356,111100,243277,43100,242698,39500,2450,54700,
seq_200_1,19900,299300,10530,91200,428516,102800,245197,45200,244484,50800,2441,46500,
seq_200_2,19900,258000,10127,109400,431676,127500,247204,37200,246198,37400,2466,49100,
seq_200_3,19900,336500,9523,97000,434826,93000,249155,78100,247994,36700,2469,48800,
seq_200_4,19900,306700,10979,118300,437980,102400,251053,44400,249776,39200,2432,62100,
seq_200_5,19900,291300,10371,117300,441162,117300,252803,40000,251815,44700,2445,61200,
seq_200_6,19900,285000,9606,101700,444324,93100,254570,39500,253879,44700,2446,61300,
seq_200_7,19900,265000,10139,56800,447490,80100,256259,26700,255563,25600,2456,34400,
seq_200_8,19900,228000,10430,91900,450648,83000,258365,35400,257279,32100,2441,46900,
seq_200_9,19900,1002500,10386,133100,453776,88000,260090,32300,259073,35700,2464,49100,
seq_200_10,19900,273800,10090,96800,456972,103800,261936,36100,260813,36600,2458,52600,
seq_200_11,19900,265600,10153,106200,460130,90700,263770,37100,262504,35200,2457,52700,
seq_200_12,19900,236000,8441,75400,463286,77900,265953,41600,264228,33700,2453,49100,
seq_200_13,19900,266900,10166,99700,466440,93100,267734,26500,265933,25000,2458,34900,
seq_200_14,19900,242300,10107,59900,469608,62900,269350,26500,267582,26100,2418,35800,
seq_200_15,19900,235900,10144,59800,472762,67500,271095,27500,269220,26600,2473,122400,
seq_200_16,19900,340000,9252,106900,475944,110600,272943,42900,270984,44200,2464,64200,
